colegio;PRODUCTO;TALLA;VALOR AÑO PRESENTE;ID_BUSQUEDA;2022;2023;2024;2025;2026;2027;2028;2029
liceo universitario;pantalon;2;44000;liceo universitario_pantalon_2;;;;39000;44000;49000;54000;60000
liceo universitario;pantalon;4;44000;liceo universitario_pantalon_4;;35000;;39000;44000;49000;54000;60000
liceo universitario;pantalon;6;44000;liceo universitario_pantalon_6;29000;35000;39000;39000;44000;49000;54000;60000
liceo universitario;pantalon;8;44000;liceo universitario_pantalon_8;29000;35000;39000;39000;44000;49000;54000;60000
liceo universitario;pantalon;10;48000;liceo universitario_pantalon_10;34000;38000;42000;42000;48000;53000;59000;65000
liceo universitario;pantalon;12;48000;liceo universitario_pantalon_12;34000;38000;40320;42000;48000;53000;59000;65000
liceo universitario;pantalon;14;51000;liceo universitario_pantalon_14;36000;41000;45000;45000;51000;57000;63000;70000
liceo universitario;pantalon;16;51000;liceo universitario_pantalon_16;36000;41000;43200;45000;51000;57000;63000;70000
liceo universitario;pantalon;28;56000;liceo universitario_pantalon_28;39000;45000;50000;50000;56000;62000;69000;76000
liceo universitario;pantalon;30;56000;liceo universitario_pantalon_30;39000;45000;50000;50000;56000;62000;69000;76000
liceo universitario;pantalon;32;56000;liceo universitario_pantalon_32;39000;45000;50000;50000;56000;62000;69000;76000
liceo universitario;pantalon;34;59000;liceo universitario_pantalon_34;42000;47000;52000;52000;59000;65000;72000;80000
liceo universitario;pantalon;36;59000;liceo universitario_pantalon_36;42000;47000;;52000;59000;65000;72000;80000
liceo universitario;pantalon;38;64000;liceo universitario_pantalon_38;;;;57000;64000;71000;79000;87000
liceo universitario;camiseta fisica;2;40000;liceo universitario_camiseta fisica_2;;;;35000;40000;44000;49000;54000
liceo universitario;camiseta fisica;4;40000;liceo universitario_camiseta fisica_4;;32000;;35000;40000;44000;49000;54000
liceo universitario;camiseta fisica;6;41000;liceo universitario_camiseta fisica_6;29000;33000;;36000;41000;46000;51000;57000
liceo universitario;camiseta fisica;8;41000;liceo universitario_camiseta fisica_8;29000;33000;36000;36000;41000;46000;51000;57000
liceo universitario;camiseta fisica;10;45000;liceo universitario_camiseta fisica_10;31000;36000;40000;40000;45000;50000;55000;61000
liceo universitario;camiseta fisica;12;45000;liceo universitario_camiseta fisica_12;31000;36000;40000;40000;45000;50000;55000;61000
liceo universitario;camiseta fisica;14;48000;liceo universitario_camiseta fisica_14;34000;38000;42000;42000;48000;53000;59000;65000
liceo universitario;camiseta fisica;16;48000;liceo universitario_camiseta fisica_16;34000;38000;42000;42000;48000;53000;59000;65000
liceo universitario;camiseta fisica;S;51000;liceo universitario_camiseta fisica_S;36000;41000;45000;45000;51000;57000;63000;70000
liceo universitario;camiseta fisica;M;51000;liceo universitario_camiseta fisica_M;36000;41000;43200;45000;51000;57000;63000;70000
liceo universitario;camiseta fisica;L;56000;liceo universitario_camiseta fisica_L;39000;45000;50000;50000;56000;62000;69000;76000
liceo universitario;camiseta fisica;XL;56000;liceo universitario_camiseta fisica_XL;39000;45000;50000;50000;56000;62000;69000;76000
liceo universitario;bombacho;2;46000;liceo universitario_bombacho_2;;37000;;41000;46000;51000;57000;63000
liceo universitario;bombacho;4;46000;liceo universitario_bombacho_4;;37000;;41000;46000;51000;57000;63000
liceo universitario;bombacho;6;46000;liceo universitario_bombacho_6;;37000;41000;41000;46000;51000;57000;63000
liceo universitario;bombacho;8;46000;liceo universitario_bombacho_8;32000;37000;41000;41000;46000;51000;57000;63000
liceo universitario;bombacho;10;49000;liceo universitario_bombacho_10;35000;39000;43000;43000;49000;54000;60000;66000
liceo universitario;bombacho;12;49000;liceo universitario_bombacho_12;35000;39000;43000;43000;49000;54000;60000;66000
liceo universitario;bombacho;14;53000;liceo universitario_bombacho_14;37000;42000;47000;47000;53000;59000;65000;72000
liceo universitario;bombacho;16;53000;liceo universitario_bombacho_16;37000;42000;47000;47000;53000;59000;65000;72000
liceo universitario;bombacho;S;56000;liceo universitario_bombacho_S;39000;45000;50000;50000;56000;62000;69000;76000
liceo universitario;bombacho;M;56000;liceo universitario_bombacho_M;39000;45000;50000;50000;56000;62000;69000;76000
liceo universitario;bombacho;L;61000;liceo universitario_bombacho_L;43000;49000;51840;54000;61000;68000;75000;83000
liceo universitario;bombacho;XL;61000;liceo universitario_bombacho_XL;43000;49000;54000;54000;61000;68000;75000;83000
liceo universitario;medias;2;16000;liceo universitario_medias_2;10000;14000;12000;14000;16000;18000;20000;22000
liceo universitario;medias;4;16000;liceo universitario_medias_4;;;;14000;16000;18000;20000;22000
liceo universitario;medias;6;16000;liceo universitario_medias_6;10000;14000;12000;14000;16000;18000;20000;22000
liceo universitario;medias;8;16000;liceo universitario_medias_8;10000;14000;15000;14000;16000;18000;20000;22000
liceo universitario;medias;10;16000;liceo universitario_medias_10;10000;14000;14000;14000;16000;18000;20000;22000
nuestra señora del carmen;blusa;2;37000;nuestra señora del carmen_blusa_2;;30000;33000;33000;37000;41000;46000;51000
nuestra señora del carmen;blusa;4;37000;nuestra señora del carmen_blusa_4;25000;30000;33000;33000;37000;41000;46000;51000
nuestra señora del carmen;blusa;6;37000;nuestra señora del carmen_blusa_6;25000;30000;33000;33000;37000;41000;46000;51000
nuestra señora del carmen;blusa;8;37000;nuestra señora del carmen_blusa_8;86000;30000;33000;33000;37000;41000;46000;51000
nuestra señora del carmen;blusa;10;40000;nuestra señora del carmen_blusa_10;27000;32000;32000;35000;40000;44000;49000;54000
nuestra señora del carmen;blusa;12;40000;nuestra señora del carmen_blusa_12;27000;32000;35000;35000;40000;44000;49000;54000
nuestra señora del carmen;blusa;14;42000;nuestra señora del carmen_blusa_14;29000;33000;36000;37000;42000;47000;52000;58000
nuestra señora del carmen;blusa;16;42000;nuestra señora del carmen_blusa_16;29000;33000;36000;37000;42000;47000;52000;58000
nuestra señora del carmen;blusa;S;45000;nuestra señora del carmen_blusa_S;31000;30000;40000;40000;45000;50000;55000;61000
nuestra señora del carmen;blusa;M;45000;nuestra señora del carmen_blusa_M;31000;36000;36000;40000;45000;50000;55000;61000
nuestra señora del carmen;blusa;L;48000;nuestra señora del carmen_blusa_L;32000;37000;41000;42000;48000;53000;59000;65000
nuestra señora del carmen;blusa;XL;48000;nuestra señora del carmen_blusa_XL;;;;42000;48000;53000;59000;65000
nuestra señora del carmen;jumper;2;106000;nuestra señora del carmen_jumper_2;84000;;;94000;106000;117000;129000;142000
nuestra señora del carmen;jumper;4;106000;nuestra señora del carmen_jumper_4;;84000;94000;94000;106000;117000;129000;142000
nuestra señora del carmen;jumper;6;106000;nuestra señora del carmen_jumper_6;84000;55000;94000;94000;106000;117000;129000;142000
nuestra señora del carmen;jumper;8;108000;nuestra señora del carmen_jumper_8;86000;86000;53000;96000;108000;119000;131000;145000
nuestra señora del carmen;jumper;10;108000;nuestra señora del carmen_jumper_10;86000;86000;96000;96000;108000;119000;131000;145000
nuestra señora del carmen;jumper;12;108000;nuestra señora del carmen_jumper_12;86000;86000;100000;96000;108000;119000;131000;145000
nuestra señora del carmen;jumper;14;114000;nuestra señora del carmen_jumper_14;91000;91000;101000;101000;114000;126000;139000;153000
nuestra señora del carmen;jumper;16;114000;nuestra señora del carmen_jumper_16;91000;91000;50000;101000;114000;126000;139000;153000
nuestra señora del carmen;jumper;S;118000;nuestra señora del carmen_jumper_S;94000;94000;105000;105000;118000;130000;143000;158000
nuestra señora del carmen;jumper;M;118000;nuestra señora del carmen_jumper_M;94000;94000;100000;105000;118000;130000;143000;158000
nuestra señora del carmen;jumper;L;124000;nuestra señora del carmen_jumper_L;94000;94000;101000;110000;124000;137000;151000;167000
nuestra señora del carmen;jumper;XL;129000;nuestra señora del carmen_jumper_XL;;;;115000;129000;142000;157000;173000
nuestra señora del carmen;guayabera;2;58000;nuestra señora del carmen_guayabera_2;42000;;;51000;58000;64000;71000;79000
nuestra señora del carmen;guayabera;4;58000;nuestra señora del carmen_guayabera_4;42000;46000;51000;51000;58000;64000;71000;79000
nuestra señora del carmen;guayabera;6;58000;nuestra señora del carmen_guayabera_6;25000;46000;51000;51000;58000;64000;71000;79000
nuestra señora del carmen;guayabera;8;60000;nuestra señora del carmen_guayabera_8;48000;48000;48000;53000;60000;66000;73000;81000
nuestra señora del carmen;guayabera;10;60000;nuestra señora del carmen_guayabera_10;48000;48000;53000;53000;60000;66000;73000;81000
nuestra señora del carmen;guayabera;12;60000;nuestra señora del carmen_guayabera_12;48000;48000;53000;53000;60000;66000;73000;81000
nuestra señora del carmen;guayabera;14;63000;nuestra señora del carmen_guayabera_14;50000;50000;56000;56000;63000;70000;77000;85000
nuestra señora del carmen;guayabera;16;63000;nuestra señora del carmen_guayabera_16;50000;50000;56000;56000;63000;70000;77000;85000
nuestra señora del carmen;guayabera;S;70000;nuestra señora del carmen_guayabera_S;50000;56000;40000;62000;70000;77000;85000;94000
nuestra señora del carmen;guayabera;M;70000;nuestra señora del carmen_guayabera_M;50000;56000;61000;62000;70000;77000;85000;94000
nuestra señora del carmen;guayabera;L;76000;nuestra señora del carmen_guayabera_L;57000;60000;67000;67000;76000;84000;93000;103000
nuestra señora del carmen;guayabera;XL;76000;nuestra señora del carmen_guayabera_XL;57000;60000;67000;67000;76000;84000;93000;103000
nuestra señora del carmen;pantalon;2;65000;nuestra señora del carmen_pantalon_2;;;;58000;65000;72000;80000;88000
nuestra señora del carmen;pantalon;4;70000;nuestra señora del carmen_pantalon_4;;;;62000;70000;77000;85000;94000
nuestra señora del carmen;pantalon;6;70000;nuestra señora del carmen_pantalon_6;;56000;62000;62000;70000;77000;85000;94000
nuestra señora del carmen;pantalon;8;72000;nuestra señora del carmen_pantalon_8;56000;58000;58000;64000;72000;80000;88000;97000
nuestra señora del carmen;pantalon;10;72000;nuestra señora del carmen_pantalon_10;56000;58000;64000;64000;72000;80000;88000;97000
nuestra señora del carmen;pantalon;12;72000;nuestra señora del carmen_pantalon_12;56000;58000;64000;64000;72000;80000;88000;97000
nuestra señora del carmen;pantalon;14;76000;nuestra señora del carmen_pantalon_14;60000;60000;67000;67000;76000;84000;93000;103000
nuestra señora del carmen;pantalon;16;76000;nuestra señora del carmen_pantalon_16;60000;60000;67000;67000;76000;84000;93000;103000
nuestra señora del carmen;pantalon;28;80000;nuestra señora del carmen_pantalon_28;64000;64000;41000;71000;80000;88000;97000;107000
nuestra señora del carmen;pantalon;30;80000;nuestra señora del carmen_pantalon_30;64000;64000;71000;71000;80000;88000;97000;107000
nuestra señora del carmen;pantalon;32;80000;nuestra señora del carmen_pantalon_32;64000;64000;71000;71000;80000;88000;97000;107000
nuestra señora del carmen;pantalon;34;88000;nuestra señora del carmen_pantalon_34;;70000;75000;78000;88000;97000;107000;118000
nuestra señora del carmen;pantalon;36;88000;nuestra señora del carmen_pantalon_36;70000;70000;;78000;88000;97000;107000;118000
nuestra señora del carmen;pantalon;38;93000;nuestra señora del carmen_pantalon_38;;;;83000;93000;103000;114000;126000
nuestra señora del carmen;bermuda;2;48000;nuestra señora del carmen_bermuda_2;;38000;42000;42000;48000;53000;59000;65000
nuestra señora del carmen;bermuda;4;48000;nuestra señora del carmen_bermuda_4;36000;38000;42000;42000;48000;53000;59000;65000
nuestra señora del carmen;bermuda;6;50000;nuestra señora del carmen_bermuda_6;42000;40000;44000;44000;50000;55000;61000;68000
nuestra señora del carmen;bermuda;8;50000;nuestra señora del carmen_bermuda_8;36000;40000;44000;44000;50000;55000;61000;68000
nuestra señora del carmen;bermuda;10;50000;nuestra señora del carmen_bermuda_10;;;;44000;50000;55000;61000;68000
nuestra señora del carmen;bermuda;12;50000;nuestra señora del carmen_bermuda_12;;46000;;44000;50000;55000;61000;68000
nuestra señora del carmen;camiseta fisica;2;48000;nuestra señora del carmen_camiseta fisica_2;36000;36000;;42000;48000;53000;59000;65000
nuestra señora del carmen;camiseta fisica;4;48000;nuestra señora del carmen_camiseta fisica_4;36000;36000;40000;42000;48000;53000;59000;65000
nuestra señora del carmen;camiseta fisica;6;48000;nuestra señora del carmen_camiseta fisica_6;36000;36000;40000;42000;48000;53000;59000;65000
nuestra señora del carmen;camiseta fisica;8;50000;nuestra señora del carmen_camiseta fisica_8;38000;38000;38000;44000;50000;55000;61000;68000
nuestra señora del carmen;camiseta fisica;10;50000;nuestra señora del carmen_camiseta fisica_10;38000;38000;42000;44000;50000;55000;61000;68000
nuestra señora del carmen;camiseta fisica;12;50000;nuestra señora del carmen_camiseta fisica_12;38000;38000;42000;44000;50000;55000;61000;68000
nuestra señora del carmen;camiseta fisica;14;52000;nuestra señora del carmen_camiseta fisica_14;40000;40000;44000;46000;52000;58000;64000;71000
nuestra señora del carmen;camiseta fisica;16;52000;nuestra señora del carmen_camiseta fisica_16;40000;40000;44000;46000;52000;58000;64000;71000
