mes,colegio,articulo,talla,inventario,pronostico,stock_minimo,orden_produccion,producto_colegio
8,nuestra senora del carmen,camiseta fisica,12,0,1,1,2,camiseta fisica_nuestra senora del carmen
8,nuestra senora del carmen,pantalon,12,0,2,1,3,pantalon_nuestra senora del carmen
8,bordados,mediano,4,0,17,6,23,mediano_bordados
8,colsafa,pantalon,32,0,1,1,2,pantalon_colsafa
8,conalco,blusa,14,1,3,1,3,blusa_conalco
8,conalco,blusa,16,3,3,1,1,blusa_conalco
8,conalco,falda,12,0,4,2,6,falda_conalco
8,conalco,falda,16,0,1,1,2,falda_conalco
8,conalco,falda,M,0,1,1,2,falda_conalco
8,conalco,medias hombre,10,0,1,1,2,medias hombre_conalco
8,conalco,medias mujer,4,0,1,1,2,medias mujer_conalco
8,conalco,pantalon,8,0,1,2,3,pantalon_conalco
8,gimnasio plaza feliz,blusa,8,2,3,1,2,blusa_gimnasio plaza feliz
8,gimnasio plaza feliz,bombacho,8,0,1,1,2,bombacho_gimnasio plaza feliz
8,gimnasio plaza feliz,guayabera,10,1,2,1,2,guayabera_gimnasio plaza feliz
8,gimnasio vallegrande,bombacho dama,12,1,1,1,1,bombacho dama_gimnasio vallegrande
8,liceo pupo jimenez,blusa,16,5,5,2,2,blusa_liceo pupo jimenez
8,liceo pupo jimenez,blusa,8,1,1,1,1,blusa_liceo pupo jimenez
8,liceo pupo jimenez,blusa,L,0,1,1,2,blusa_liceo pupo jimenez
8,liceo pupo jimenez,medias,10,0,2,1,3,medias_liceo pupo jimenez
8,liceo pupo jimenez,pantalon,28,0,1,1,2,pantalon_liceo pupo jimenez
8,liceo pupo jimenez,pantalon,8,0,1,1,2,pantalon_liceo pupo jimenez
8,liceo universitario,bombacho,10,0,1,1,2,bombacho_liceo universitario
8,liceo universitario,camiseta fisica,16,2,1,5,4,camiseta fisica_liceo universitario
8,liceo universitario,guayabera,10,0,1,1,2,guayabera_liceo universitario
8,nuestra senora del carmen,blusa,4,0,1,1,2,blusa_nuestra senora del carmen
8,nuestra senora del carmen,cordon,6,0,1,1,2,cordon_nuestra senora del carmen
8,unicor,grown,16,4,4,2,2,grown_unicor
8,unicor,grown,S,5,5,3,3,grown_unicor
8,unicor,kids,12,0,9,5,14,kids_unicor
8,unicor,kids,14,8,6,5,3,kids_unicor
8,unicor,teens,16,0,5,3,8,teens_unicor
8,unicor,teens,L,1,1,1,1,teens_unicor
8,unicor,teens,S,0,2,1,3,teens_unicor
8,bordados,mediano,S,0,1,1,2,mediano_bordados
8,colsafa,guayabera,14,2,4,3,5,guayabera_colsafa
8,gimnasio plaza feliz,jumper,8,0,1,1,2,jumper_gimnasio plaza feliz
8,la inmaculada,jumper,M,0,1,1,2,jumper_la inmaculada
8,liceo universitario,blusa,S,0,1,1,2,blusa_liceo universitario
8,liceo universitario,falda,16,0,1,1,2,falda_liceo universitario
8,nuestra senora del carmen,bombacho,L,0,2,1,3,bombacho_nuestra senora del carmen
8,nuestra senora del carmen,camiseta fisica,M,0,4,2,6,camiseta fisica_nuestra senora del carmen
8,nuestra senora del carmen,cordon,4,0,1,1,2,cordon_nuestra senora del carmen
8,nuestra senora del carmen,guayabera,L,1,2,1,2,guayabera_nuestra senora del carmen
8,nuestra senora del carmen,guayabera,S,0,1,1,2,guayabera_nuestra senora del carmen
8,nuestra senora del carmen,pantalon,16,0,1,1,2,pantalon_nuestra senora del carmen
8,pantalones azules,intermedio,36,1,1,1,1,intermedio_pantalones azules
8,unicor,kids,M,0,1,1,2,kids_unicor
8,bordados,mediano,UNICA,0,9,2,11,mediano_bordados
8,colsafa,camiseta fisica,16,1,1,1,1,camiseta fisica_colsafa
8,conalco,camiseta fisica,4,0,1,1,2,camiseta fisica_conalco
8,conalco,pantalon,36,0,1,1,2,pantalon_conalco
8,gimnasio plaza feliz,camiseta fisica,16,0,1,1,2,camiseta fisica_gimnasio plaza feliz
8,gimnasio vallegrande,falda,10,0,1,1,2,falda_gimnasio vallegrande
8,gimnasio vallegrande,falda,14,0,1,1,2,falda_gimnasio vallegrande
8,gimnasio vallegrande,falda,L,0,1,1,2,falda_gimnasio vallegrande
8,gimnasio vallegrande,falda,S,0,1,1,2,falda_gimnasio vallegrande
8,la inmaculada,jumper,12,0,3,1,4,jumper_la inmaculada
8,la inmaculada,jumper,16,0,1,1,2,jumper_la inmaculada
8,la inmaculada,jumper,8,0,1,1,2,jumper_la inmaculada
8,liceo pupo jimenez,falda,8,0,1,1,2,falda_liceo pupo jimenez
8,nuestra senora del carmen,guayabera,16,0,2,1,3,guayabera_nuestra senora del carmen
8,nuestra senora del carmen,jumper,12,0,1,1,2,jumper_nuestra senora del carmen
9,bordados,grande,12,0,2,1,3,grande_bordados
9,bordados,grande,8,0,6,2,8,grande_bordados
9,bordados,grande,S,0,1,1,2,grande_bordados
9,bordados,mediano,10,0,4,1,5,mediano_bordados
9,bordados,mediano,2,0,2,1,3,mediano_bordados
9,bordados,mediano,4,0,58,42,100,mediano_bordados
9,bordados,mediano,8,0,88,18,106,mediano_bordados
9,colsafa,camiseta externa,16,0,1,1,2,camiseta externa_colsafa
9,colsafa,camiseta interna,14,0,2,1,3,camiseta interna_colsafa
9,colsafa,pantalon,10,0,1,1,2,pantalon_colsafa
9,colsafa,pantalon,12,0,2,1,3,pantalon_colsafa
9,colsafa,pantalon,14,0,1,1,2,pantalon_colsafa
9,colsafa,pantalon,30,0,1,1,2,pantalon_colsafa
9,colsafa,pantalon,6,0,1,1,2,pantalon_colsafa
9,colsafa,pantalon,8,0,3,1,4,pantalon_colsafa
9,conalco,blusa,14,1,1,1,1,blusa_conalco
9,conalco,blusa,16,3,4,2,3,blusa_conalco
9,conalco,bombacho,16,6,6,3,3,bombacho_conalco
9,conalco,camiseta fisica,16,2,2,1,1,camiseta fisica_conalco
9,conalco,camiseta fisica,S,7,2,9,4,camiseta fisica_conalco
9,conalco,pantalon,14,0,2,1,3,pantalon_conalco
9,gimnasio plaza feliz,camiseta fisica,S,0,1,1,2,camiseta fisica_gimnasio plaza feliz
9,gimnasio plaza feliz,jumper,8,0,1,1,2,jumper_gimnasio plaza feliz
9,hogar,bombacho fisica,4,0,5,5,10,bombacho fisica_hogar
9,hogar,camiseta fisica,4,5,6,4,5,camiseta fisica_hogar
9,la inmaculada,blusa,14,0,2,1,3,blusa_la inmaculada
9,la inmaculada,camiseta fisica,10,5,1,5,1,camiseta fisica_la inmaculada
9,liceo pupo jimenez,bombacho,12,0,1,3,4,bombacho_liceo pupo jimenez
9,liceo pupo jimenez,bombacho,M,1,2,1,2,bombacho_liceo pupo jimenez
9,liceo pupo jimenez,camiseta fisica,M,9,1,9,1,camiseta fisica_liceo pupo jimenez
9,liceo pupo jimenez,falda,12,0,1,1,2,falda_liceo pupo jimenez
9,liceo pupo jimenez,falda,8,0,2,1,3,falda_liceo pupo jimenez
9,liceo pupo jimenez,medias,10,0,2,1,3,medias_liceo pupo jimenez
9,liceo pupo jimenez,medias,12,0,13,3,16,medias_liceo pupo jimenez
9,liceo pupo jimenez,medias,8,0,4,2,6,medias_liceo pupo jimenez
9,liceo pupo jimenez,pantalon,12,0,2,1,3,pantalon_liceo pupo jimenez
9,liceo pupo jimenez,pantalon,28,0,1,1,2,pantalon_liceo pupo jimenez
9,liceo pupo jimenez,pantalon,30,0,1,1,2,pantalon_liceo pupo jimenez
9,liceo pupo jimenez,pantalon,32,0,3,1,4,pantalon_liceo pupo jimenez
9,liceo pupo jimenez,pantalon,36,0,1,1,2,pantalon_liceo pupo jimenez
9,liceo pupo jimenez,pantalon,8,0,3,1,4,pantalon_liceo pupo jimenez
9,liceo universitario,blusa,S,0,1,1,2,blusa_liceo universitario
9,nuestra senora del carmen,blusa,4,0,2,1,3,blusa_nuestra senora del carmen
9,nuestra senora del carmen,camiseta fisica,2,0,1,1,2,camiseta fisica_nuestra senora del carmen
9,bordados,extra grande,4,0,10,2,12,extra grande_bordados
9,bordados,grande,4,0,55,11,66,grande_bordados
9,colsafa,guayabera,L,3,3,5,5,guayabera_colsafa
9,colsafa,pantalon,28,0,2,1,3,pantalon_colsafa
9,conalco,medias hombre,10,0,2,1,3,medias hombre_conalco
9,conalco,pantalon,10,0,1,1,2,pantalon_conalco
9,conalco,pantalon,16,0,4,1,5,pantalon_conalco
9,conalco,pantalon,34,1,1,1,1,pantalon_conalco
9,gimnasio plaza feliz,bombacho,6,1,1,1,1,bombacho_gimnasio plaza feliz
9,gimnasio plaza feliz,bombacho,8,0,2,1,3,bombacho_gimnasio plaza feliz
9,gimnasio plaza feliz,camiseta fisica,8,1,2,1,2,camiseta fisica_gimnasio plaza feliz
9,gimnasio plaza feliz,guayabera,XL,1,1,1,1,guayabera_gimnasio plaza feliz
9,gimnasio plaza feliz,jumper,12,0,1,1,2,jumper_gimnasio plaza feliz
9,gimnasio vallegrande,bombacho dama,12,1,1,1,1,bombacho dama_gimnasio vallegrande
9,gimnasio vallegrande,camiseta de fisica interna,12,0,1,1,2,camiseta de fisica interna_gimnasio vallegrande
9,la inmaculada,blusa,S,1,2,3,4,blusa_la inmaculada
9,la inmaculada,jumper,6,0,1,1,2,jumper_la inmaculada
9,liceo pupo jimenez,blusa,L,0,2,1,3,blusa_liceo pupo jimenez
9,liceo pupo jimenez,medias,4,0,1,1,2,medias_liceo pupo jimenez
9,liceo pupo jimenez,medias,6,0,3,1,4,medias_liceo pupo jimenez
9,liceo universitario,bombacho,16,0,1,1,2,bombacho_liceo universitario
9,nuestra senora del carmen,guayabera,S,0,1,1,2,guayabera_nuestra senora del carmen
9,unicor,kids,12,0,5,1,6,kids_unicor
9,unicor,teens,16,0,4,1,5,teens_unicor
9,unicor,teens,S,0,1,1,2,teens_unicor
9,bordados,pequeno,4,0,27,6,33,pequeno_bordados
9,conalco,pantalon,28,1,5,2,6,pantalon_conalco
9,gimnasio plaza feliz,guayabera,10,1,1,1,1,guayabera_gimnasio plaza feliz
9,gimnasio plaza feliz,jumper,16,0,1,1,2,jumper_gimnasio plaza feliz
9,la inmaculada,bombacho,4,0,1,1,2,bombacho_la inmaculada
9,nuestra senora del carmen,camiseta fisica,M,0,1,1,2,camiseta fisica_nuestra senora del carmen
9,bordados,mediano,UNICA,0,2,1,3,mediano_bordados
9,liceo pupo jimenez,bombacho,4,0,1,1,2,bombacho_liceo pupo jimenez
9,nuestra senora del carmen,camiseta fisica,12,0,1,1,2,camiseta fisica_nuestra senora del carmen
8,colsafa,falda,16,0,2,1,3,falda_colsafa
